index;u;v;key;osmid;oneway;ref;name;highway;maxspeed;reversed;length;lanes;bridge;tunnel;fid;geometry;points
1228;764398214;895755413;0;61082310;0;;;tertiary;;False;58.553999999999995;2;;;1228;LINESTRING (140.8945773 38.2614283, 140.8945903 38.2616475, 140.8945757 38.2618413, 140.8945493 38.2619524);4
1229;764398214;3754154209;0;61082310;0;;;tertiary;;True;75.28399999999999;2;;;1229;LINESTRING (140.8945773 38.2614283, 140.8943988 38.2608748, 140.8943897 38.2608202, 140.8943886 38.2607692);4
1265;768026085;939225676;0;61082083;0;;;unclassified;;True;45.32;;;;1265;LINESTRING (140.8931792 38.2596561, 140.8928097 38.2598061, 140.8927186 38.259844);3
1266;768026085;3754154204;0;61575996;0;;;unclassified;;False;69.259;;;;1266;LINESTRING (140.8931792 38.2596561, 140.8931974 38.2597045, 140.8934041 38.2602534);3
1267;3754154204;768026111;0;61575996;0;;;unclassified;;False;77.53800000000001;;;;1267;LINESTRING (140.8934041 38.2602534, 140.8934486 38.2604097, 140.8935387 38.2605765, 140.8935827 38.2606602, 140.8937118 38.2609055);5
1268;3754154204;768026085;0;61575996;0;;;unclassified;;True;69.259;;;;1268;LINESTRING (140.8934041 38.2602534, 140.8931974 38.2597045, 140.8931792 38.2596561);3
1270;768026111;3754154207;0;371864623;0;;;unclassified;;False;48.353;;;;1270;LINESTRING (140.8937118 38.2609055, 140.894233 38.2607585);2
1274;3754154207;3754154204;0;371864621;0;;;residential;;False;129.14100000000002;;;;1274;LINESTRING (140.894233 38.2607585, 140.8940709 38.2601636, 140.8940493 38.2601382, 140.8940091 38.260132, 140.8934041 38.2602534);5
1275;3754154207;3754154209;0;371864623;0;;;unclassified;;False;13.666;;;;1275;LINESTRING (140.894233 38.2607585, 140.8943068 38.2607596, 140.8943886 38.2607692);3
1701;1201870381;939225618;0;1010353650;1;;新寺通;tertiary;;False;55.554;2;;;1701;LINESTRING (140.8863653 38.256188, 140.8864403 38.25618, 140.8869957 38.2561205);3
1705;939225636;939225738;0;228501983;0;;;tertiary;;False;53.17;2;;;1705;LINESTRING (140.8871838 38.2572179, 140.8877916 38.2572472);2
1767;781724243;938512911;0;373042365;0;;;tertiary;;False;12.723;;;;1767;LINESTRING (140.8919458 38.2605682, 140.8920847 38.2605336);2
1769;781724243;5844037486;0;373042365;0;;;tertiary;;True;45.363;;;;1769;LINESTRING (140.8919458 38.2605682, 140.8917894 38.260609, 140.8914567 38.2607057);3
1771;938512911;764397798;0;80428643;1;;;tertiary;;False;52.868;;;;1771;LINESTRING (140.8920847 38.2605336, 140.8920618 38.2604011, 140.8919976 38.2600631);3
1803;794404531;753563584;0;38812225;1;;宮城野通;tertiary;;False;173.253;2;;;1803;LINESTRING (140.8967955 38.2584658, 140.8956591 38.2585967, 140.8950075 38.2586754, 140.8948329 38.2586954);4
1854;895755469;753563703;0;60272277;1;;;tertiary;;False;122.494;2;;;1854;LINESTRING (140.8945208 38.2620727, 140.8946897 38.2620519, 140.894744 38.2620459, 140.8959118 38.2619294);4
2107;939225618;939225636;0;80510793;0;;;unclassified;;True;123.131;;;;2107;LINESTRING (140.8869957 38.2561205, 140.8870061 38.2561764, 140.887062 38.2564737, 140.8871 38.2567058, 140.8871778 38.2571814, 140.8871838 38.2572179);6
2119;939225738;973821388;0;228501983;0;;;tertiary;;False;84.513;2;;;2119;LINESTRING (140.8877916 38.2572472, 140.8878962 38.2572495, 140.8880125 38.2572427, 140.8886557 38.2571718, 140.8887519 38.2571612);5
2130;973821388;2371746420;0;228501983;0;;;tertiary;;False;105.155;2;;;2130;LINESTRING (140.8887519 38.2571612, 140.8888397 38.2571515, 140.8899445 38.2570296);3
2138;1253984599;941298170;0;[180919747, 109827583];0;;;tertiary;;False;225.736;;;;2138;LINESTRING (140.8822628 38.263412, 140.8821986 38.2633053, 140.88215 38.2629726, 140.8820898 38.2625077, 140.882062 38.2624448, 140.8820186 38.2624034, 140.8818845 38.2623455, 140.8809881 38.2621815, 140.8808055 38.2621497);9
2634;1256750688;3731544576;0;837910348;0;;北目町通;tertiary;;True;43.878;;;;2634;LINESTRING (140.8767984 38.2554162, 140.8763263 38.255281);2
2636;1256750688;1201358498;0;837910348;0;;北目町通;tertiary;;False;74.986;;;;2636;LINESTRING (140.8767984 38.2554162, 140.8774521 38.2556162, 140.8775986 38.255661);3
2663;3731544705;1201853892;0;38812469;0;;柳町通;tertiary;;True;27.38;;;;2663;LINESTRING (140.8753621 38.2567465, 140.875059 38.2566834);2
2664;3731544705;1201358598;0;38812469;0;;柳町通;tertiary;;False;128.29;;;;2664;LINESTRING (140.8753621 38.2567465, 140.876634 38.2570118, 140.8767811 38.2570456);3
2681;1201380222;5797888756;0;38812495;0;;柳町通;tertiary;;True;27.358;;;;2681;LINESTRING (140.8721267 38.2560657, 140.8724303 38.2561265);2
2682;1201380222;380407145;0;38813261;1;;国分町通線;unclassified;;False;58.963;;;;2682;LINESTRING (140.8721267 38.2560657, 140.8719795 38.2565094, 140.8719507 38.2565775);3
2687;7235845294;7235868282;0;355761056;0;;国分町通;residential;;True;59.231;;;;2687;LINESTRING (140.8712522 38.2587096, 140.8714221 38.2581939);2
2688;7235845294;2534629038;0;775629352;0;;;residential;;True;113.502;;;;2688;LINESTRING (140.8712522 38.2587096, 140.8725178 38.2589427);2
2899;1201853892;1259507947;0;38812469;0;;柳町通;tertiary;;True;26.755;;;;2899;LINESTRING (140.875059 38.2566834, 140.8748785 38.2566479, 140.8747618 38.2566248);3
2927;1256287770;1201853978;0;38812456;0;;;tertiary;;False;52.856;;;;2927;LINESTRING (140.8730947 38.2573129, 140.8732366 38.2568508);2
2928;1256287770;1201853930;0;38812456;0;;;tertiary;;True;4.248;;;;2928;LINESTRING (140.8730947 38.2573129, 140.8730831 38.25735);2
2968;5794595703;1201870381;0;104161242;0;;;tertiary;;True;9.747;;;;2968;LINESTRING (140.8863517 38.256101, 140.8863653 38.256188);2
3349;1256220780;941298170;0;866721539;1;;駅前通;tertiary;;False;105.17099999999999;3;;;3349;LINESTRING (140.8806042 38.2630688, 140.8806445 38.2629343, 140.8806896 38.2627775, 140.8808453 38.2622361, 140.8808231 38.2621879, 140.8808055 38.2621497);6
3373;1256553895;1256553930;0;109853158;1;;新寺通;tertiary;;False;10.929;3;;;3373;LINESTRING (140.8818302 38.2554124, 140.8817061 38.2554252);2
3376;1256553930;504963906;0;223942227;1;;愛宕上杉通;tertiary;;False;6.082;3;;;3376;LINESTRING (140.8817061 38.2554252, 140.881712 38.2554797);2
3396;3731544576;1256750688;0;837910348;0;;北目町通;tertiary;;False;43.878;;;;3396;LINESTRING (140.8763263 38.255281, 140.8767984 38.2554162);2
3397;3731544576;3731544573;0;837910348;0;;北目町通;tertiary;;True;13.125;;;;3397;LINESTRING (140.8763263 38.255281, 140.8761794 38.255256);2
